School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
ARTONDALE ELEMENTARY SCHOOL,444.0,94.8,5.0,0.2,4.3,0.5,0.0,4.7,4.7,4.5,4.3,4.1,5.0,421.0,22.0,1.0,19.0,2.0,0.0,21.0,21.0,20.0,19.0,18.0,22.0,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"6219 40TH STREET NW
GIG HARBOR
(47.293765, -122.622447)"
CASCADE K-8 COMMUNITY SCHOOL (ROOM NINE),204.0,72.1,27.5,4.4,23.0,0.0,0.0,8.8,7.8,14.2,18.1,20.6,21.1,147.0,56.0,9.0,47.0,0.0,0.0,18.0,16.0,29.0,37.0,42.0,43.0,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,"17077 MERIDIAN AVE N
SHORELINE
(47.752615, -122.334787)"
ORCHARD PRAIRIE ELEMENTARY,82.0,79.3,19.5,0.0,18.3,1.2,0.0,15.9,15.9,17.1,14.6,18.3,17.1,65.0,16.0,0.0,15.0,1.0,0.0,13.0,13.0,14.0,12.0,15.0,14.0,ORCHARD PRAIRIE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -7,Y,Y,"7626 N. ORCHARD PRAIRIE RD.
SPOKANE
(47.728603, -117.314831)"
CASCADE ELEMENTARY SCHOOL,455.0,93.2,3.3,0.4,2.2,0.4,0.2,2.9,2.9,3.1,2.9,2.9,3.3,424.0,15.0,2.0,10.0,2.0,1.0,13.0,13.0,14.0,13.0,13.0,15.0,CHEHALIS SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-1,Y,N,"89 SW THIRD STREET
CHEHALIS
(46.658593, -122.963105)"
ANNIE WRIGHT SCHOOL,457.0,93.7,5.3,0.9,4.4,0.0,0.0,3.9,3.9,3.9,3.9,4.6,4.2,428.0,24.0,4.0,20.0,0.0,0.0,18.0,18.0,18.0,18.0,21.0,19.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"827 TACOMA AVE N
TACOMA
(47.268211, -122.459555)"
GAISER MIDDLE SCHOOL,881.0,91.0,7.5,0.5,5.9,1.2,0.0,5.2,5.0,5.0,5.1,4.1,5.3,802.0,66.0,4.0,52.0,11.0,0.0,46.0,44.0,44.0,45.0,36.0,47.0,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y,"3000 NE 99TH ST
VANCOUVER
(45.693206, -122.639792)"
BROADVIEW-THOMSON K-8 SCHOOL,611.0,85.9,5.1,1.6,3.4,0.3,0.0,2.8,2.8,3.3,2.8,2.9,4.6,525.0,31.0,10.0,21.0,2.0,0.0,17.0,17.0,20.0,17.0,18.0,28.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y,"13052 GREENWOOD AV N
SEATTLE
(47.724526, -122.355568)"
FRANTZ COE ELEMENTARY SCHOOL,558.0,89.1,5.0,3.8,2.2,0.2,0.2,1.6,1.6,3.0,2.5,2.5,4.5,497.0,28.0,21.0,12.0,1.0,1.0,9.0,9.0,17.0,14.0,14.0,25.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"2424 7 AV W
SEATTLE
(47.640667, -122.366278)"
CHIEF JOSEPH MIDDLE SCHOOL,751.0,85.5,5.3,0.5,4.7,0.0,0.1,4.0,4.0,3.7,3.3,2.5,4.5,642.0,40.0,4.0,35.0,0.0,1.0,30.0,30.0,28.0,25.0,19.0,34.0,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y,"504 WILSON
RICHLAND
(46.295428, -119.282622)"
MARYSVILLE COOP PROGRAM,283.0,82.7,13.1,3.2,9.2,0.7,0.0,10.6,10.6,10.6,11.0,9.5,12.0,234.0,37.0,9.0,26.0,2.0,0.0,30.0,30.0,30.0,31.0,27.0,34.0,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"2415 74TH ST NE
MARYSVILLE
(48.064269, -122.198094)"
POULSBO SDA SCHOOL,18.0,61.1,11.1,5.6,11.1,0.0,0.0,11.1,11.1,11.1,11.1,11.1,11.1,11.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,1-8,N,Y,"1700 LINCOLN RD NE SUITE 1
POULSBO
(47.739005, -122.62736)"
LONGFELLOW ELEMENTARY,470.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,Y,Y,"301 NORTH 10TH AVENUE
PASCO
(46.230565, -119.102493)"
INDEX ELEMENTARY SCHOOL,36.0,66.7,16.7,0.0,16.7,0.0,0.0,8.3,8.3,11.1,13.9,13.9,11.1,24.0,6.0,0.0,6.0,0.0,0.0,3.0,3.0,4.0,5.0,5.0,4.0,INDEX SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-8,Y,Y,"436 INDEX AVE
INDEX
(37.89275, -83.290819)"
NAVAL AVENUE ELEMENTARY SCHOOL,352.0,86.6,4.5,0.0,4.3,0.0,0.3,3.4,3.4,3.4,3.4,3.7,4.3,305.0,16.0,0.0,15.0,0.0,1.0,12.0,12.0,12.0,12.0,13.0,15.0,BREMERTON SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-3,Y,N,"900 OLYMPIC AVENUE
BREMERTON
(47.569553, -122.648998)"
ORCA K-8 SCHOOL,376.0,77.1,12.2,5.9,7.4,0.0,0.0,5.6,5.6,5.1,7.2,9.3,9.0,290.0,46.0,22.0,28.0,0.0,0.0,21.0,21.0,19.0,27.0,35.0,34.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,"5215 46 AVE S
SEATTLE
(47.55472, -122.275391)"
COMPASS HIGH SCHOOL,33.0,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRANDVIEW SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N,"913 W 2ND ST
GRANDVIEW
(46.254776, -119.914542)"
HATHAWAY ELEMENTARY,414.0,93.7,4.8,1.0,2.9,0.7,0.5,3.1,3.1,3.9,2.9,2.2,3.9,388.0,20.0,4.0,12.0,3.0,2.0,13.0,13.0,16.0,12.0,9.0,16.0,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"630 24TH ST
WASHOUGAL
(45.581901, -122.34659)"
LOGAN ELEMENTARY,413.0,92.5,6.1,2.4,2.7,0.7,0.2,2.9,2.9,2.2,3.6,2.9,3.6,382.0,25.0,10.0,11.0,3.0,1.0,12.0,12.0,9.0,15.0,12.0,15.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"1001 E MONTGOMERY AVE
SPOKANE
(47.678363, -117.39429)"
CEDAR WAY ELEMENTARY,483.0,91.3,5.6,1.9,3.5,0.2,0.0,4.6,4.3,3.9,4.1,3.5,3.9,441.0,27.0,9.0,17.0,1.0,0.0,22.0,21.0,19.0,20.0,17.0,19.0,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"22222 39TH AVE W
MOUNTLAKE TERRACE
(47.79641, -122.286232)"
PROSSER FALLS EDUCATION CENTER,42.0,85.7,7.1,0.0,7.1,0.0,0.0,7.1,7.1,0.0,2.4,0.0,4.8,36.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,PROSSER SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N,"1500 GRANT AVE.
PROSSER
(46.211665, -119.770758)"
NORTH WALL ELEMENTARY,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-6,Y,Y,"9408 N WALL ST
SPOKANE
(47.742522, -117.421788)"
ENDEAVOUR ELEMENTARY SCHOOL,672.0,96.1,3.4,0.4,3.0,0.0,0.0,1.2,1.3,0.9,1.5,1.9,1.8,646.0,23.0,3.0,20.0,0.0,0.0,8.0,9.0,6.0,10.0,13.0,12.0,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"26205 SE ISSAQUAH-FALL CITY RD
ISSAQUAH
(47.5722, -121.98888)"
SACAJAWEA ELEMENTARY SCHOOL,411.0,90.8,5.4,1.5,3.4,0.5,0.0,2.9,2.9,3.9,3.4,3.2,4.6,373.0,22.0,6.0,14.0,2.0,0.0,12.0,12.0,16.0,14.0,13.0,19.0,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"700 NE 112TH ST
VANCOUVER
(45.701928, -122.665544)"
EAGLERIDGE ELEMENTARY,508.0,88.2,9.6,0.8,7.9,1.0,0.0,7.9,8.1,7.7,7.9,7.3,8.3,448.0,49.0,4.0,40.0,5.0,0.0,40.0,41.0,39.0,40.0,37.0,42.0,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-6,Y,Y,"2651 THORNTON RD
FERNDALE
(48.862674, -122.625969)"
ISOM ELEMENTARY SCHOOL,529.0,89.6,4.2,0.6,3.6,0.0,0.0,3.2,3.2,3.0,3.2,3.6,3.2,474.0,22.0,3.0,19.0,0.0,0.0,17.0,17.0,16.0,17.0,19.0,17.0,LYNDEN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"8461 BENSON RD
LYNDEN
(48.949121, -122.463369)"
FERNDALE HIGH SCHOOL,1429.0,89.0,5.0,0.8,3.7,0.6,0.4,2.9,2.5,2.3,2.0,2.5,2.4,1272.0,72.0,12.0,53.0,8.0,6.0,42.0,36.0,33.0,29.0,36.0,35.0,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"5830 GOLDEN EAGLE DR
FERNDALE
(48.850726, -122.593502)"
CASCADE ELEMENTARY,507.0,96.6,2.4,0.8,1.6,0.0,0.0,1.4,1.4,2.0,1.4,0.8,2.2,490.0,12.0,4.0,8.0,0.0,0.0,7.0,7.0,10.0,7.0,4.0,11.0,EASTMONT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"2330 N. BAKER AVE.
EAST WENATCHEE
(47.443396, -120.292097)"
CARSON ELEMENTARY,443.0,91.2,6.1,2.3,3.6,0.2,0.0,3.6,3.6,3.2,3.2,4.1,3.8,404.0,27.0,10.0,16.0,1.0,0.0,16.0,16.0,14.0,14.0,18.0,17.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"1035 - 244TH AVE NE
SAMMAMISH
(47.61863, -122.013863)"
OCOSTA ELEMENTARY SCHOOL,315.0,73.3,3.8,1.6,2.5,0.0,0.0,2.5,3.2,1.9,2.5,1.9,2.5,231.0,12.0,5.0,8.0,0.0,0.0,8.0,10.0,6.0,8.0,6.0,8.0,OCOSTA SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"2580 MONTESANO STREET SOUTH
WESTPORT
(46.859946, -124.100369)"
PIERCE COUNTY SKILLS CENTER,225.0,3.6,1.8,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,8.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N,"16117 CANYON RD E
PUYALLUP
(47.108868, -122.357537)"
KELSO HIGH SCHOOL,1601.0,96.2,3.1,0.4,2.3,0.4,0.1,1.7,1.6,1.7,1.2,1.1,2.1,1540.0,50.0,6.0,37.0,6.0,2.0,27.0,25.0,28.0,20.0,17.0,34.0,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"1904 ALLEN ST
KELSO
(46.144855, -122.890111)"
"ALGER LEARNING CENTER, INC.",13.0,92.3,7.7,0.0,7.7,0.0,0.0,7.7,7.7,7.7,7.7,7.7,7.7,12.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y,"121 ALDER DR
SEDRO-WOOLLEY
(48.646102, -122.330356)"
SANDBURG ELEMENTARY,452.0,92.7,6.0,1.1,4.6,0.4,0.0,2.7,2.7,4.2,4.0,4.9,5.1,419.0,27.0,5.0,21.0,2.0,0.0,12.0,12.0,19.0,18.0,22.0,23.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"12801 - 84TH AVE NE
KIRKLAND
(47.71517, -122.22948)"
KENDALL ELEMENTARY,443.0,81.5,14.4,1.8,11.3,1.8,0.0,11.1,10.6,12.2,11.5,11.5,12.6,361.0,64.0,8.0,50.0,8.0,0.0,49.0,47.0,54.0,51.0,51.0,56.0,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"7547 KENDALL RD
MAPLE FALLS
(48.917148, -122.141007)"
FAIRVIEW JUNIOR HIGH SCHOOL,693.0,92.5,4.2,0.7,3.3,0.0,0.1,2.6,2.6,2.5,2.3,1.9,3.0,641.0,29.0,5.0,23.0,0.0,1.0,18.0,18.0,17.0,16.0,13.0,21.0,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-9,N,N,"8107 CENTRAL VALLEY RD NW
BREMERTON
(47.637077, -122.650299)"
GREENACRES MIDDLE SCHOOL,771.0,92.7,6.5,0.5,5.3,0.3,0.5,4.7,4.0,2.9,3.0,2.6,4.8,715.0,50.0,4.0,41.0,2.0,4.0,36.0,31.0,22.0,23.0,20.0,37.0,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y,"17409 E SPRAGUE AVENUE
SPOKANE VALLEY
(47.65697, -117.170463)"
BEVERLY PARK ELEM AT GLENDALE,422.0,97.2,0.5,0.2,0.2,0.0,0.0,0.2,0.0,0.5,0.2,0.5,0.2,410.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"1201 S 104TH ST
SEATTLE
(47.51035, -122.318327)"
CANYON PARK JR HIGH,818.0,91.8,6.5,0.4,5.9,0.1,0.1,3.5,3.5,2.9,3.3,3.7,4.2,751.0,53.0,3.0,48.0,1.0,1.0,29.0,29.0,24.0,27.0,30.0,34.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N,"23723 23 AV SE
BOTHELL
(47.782751, -122.202102)"
FERRIS HIGH SCHOOL,1742.0,90.9,8.8,3.7,5.2,0.5,0.2,4.8,4.8,3.7,3.4,4.1,6.3,1583.0,154.0,65.0,90.0,8.0,3.0,84.0,84.0,64.0,59.0,72.0,109.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"3020 E 37TH AVE
SPOKANE
(47.620896, -117.364847)"
GRAY MIDDLE SCHOOL,552.0,97.6,2.0,0.4,1.4,0.2,0.0,0.4,2.0,0.7,0.5,0.4,0.5,539.0,11.0,2.0,8.0,1.0,0.0,2.0,11.0,4.0,3.0,2.0,3.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"6229 S TYLER ST
TACOMA
(47.199026, -122.492186)"
LACEY ELEMENTARY,490.0,90.2,4.3,0.6,3.9,0.0,0.0,4.1,4.1,3.5,4.1,2.4,3.9,442.0,21.0,3.0,19.0,0.0,0.0,20.0,20.0,17.0,20.0,12.0,19.0,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"1800 HOMANN DR SE
LACEY
(47.030011, -122.8024)"
COMMUNITY SCHOOL,70.0,82.9,17.1,4.3,12.9,0.0,0.0,12.9,12.9,12.9,12.9,15.7,12.9,58.0,12.0,3.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,11.0,9.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N,"11133 NE 65TH
KIRKLAND
(47.664679, -122.19128)"
BOISTFORT ELEM,95.0,96.8,3.2,1.1,1.1,0.0,1.1,2.1,2.1,3.2,2.1,2.1,3.2,92.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,BOISTFORT SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-8,Y,Y,"983 BOISTFORT ROAD
CURTIS
(46.550039, -123.133852)"
BELLEVUE HIGH SCHOOL,1631.0,68.7,7.1,4.1,3.1,0.4,0.0,2.3,2.3,1.8,1.7,2.4,4.8,1121.0,115.0,67.0,51.0,7.0,0.0,38.0,38.0,29.0,27.0,39.0,78.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"10416 WOLVERINE WAY
BELLEVUE
(47.605362, -122.199076)"
LAKERIDGE ELEMENTARY SCHOOL,484.0,95.2,2.9,0.4,2.5,0.0,0.0,1.7,1.7,1.9,2.3,2.5,1.9,461.0,14.0,2.0,12.0,0.0,0.0,8.0,8.0,9.0,11.0,12.0,9.0,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"8215 SE 78TH
MERCER ISLAND
(47.532984, -122.228778)"
LITTLE CEDARS ELEMENTARY SCHOOL,710.0,83.0,4.5,0.8,3.1,0.4,0.1,2.4,2.1,2.5,2.8,2.7,4.2,589.0,32.0,6.0,22.0,3.0,1.0,17.0,15.0,18.0,20.0,19.0,30.0,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"1601 AVENUE D
SNOHOMISH
(47.932005, -122.100356)"
ILWACO MIDDLE/HIGH SCHOOL,278.0,91.0,4.0,0.0,3.6,0.7,0.0,2.2,2.2,2.5,2.2,2.5,2.9,253.0,11.0,0.0,10.0,2.0,0.0,6.0,6.0,7.0,6.0,7.0,8.0,OCEAN BEACH SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 112,7-12,N,N,"314 NE BRUMBACH ST
ILWACO
(46.310487, -124.038951)"
ILLAHEE ELEMENTARY SCHOOL,609.0,77.5,5.3,0.3,4.1,0.3,0.7,4.1,3.9,4.3,4.4,4.8,4.4,472.0,32.0,2.0,25.0,2.0,4.0,25.0,24.0,26.0,27.0,29.0,27.0,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"19401 SE 1ST STREET
CAMAS
(45.621247, -122.474469)"
KALAMA ELEM SCHOOL,455.0,89.7,7.7,0.7,5.9,1.1,0.0,0.7,6.6,6.6,6.4,6.4,7.3,408.0,35.0,3.0,27.0,5.0,0.0,3.0,30.0,30.0,29.0,29.0,33.0,KALAMA SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"548 CHINA GARDEN ROAD
KALAMA
(46.007561, -122.837076)"
NORTH WHIDBEY CHRISTIAN HIGH,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAK HARBOR SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"675 E WHIDBEY AVE
OAK HARBOR
(48.298457, -122.65053)"
ROSE HILL MIDDLE SCHOOL,856.0,91.4,5.3,0.9,4.2,0.4,0.2,2.7,2.2,3.6,3.2,3.6,3.7,782.0,45.0,8.0,36.0,3.0,2.0,23.0,19.0,31.0,27.0,31.0,32.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"13505 NE 75TH
REDMOND
(47.671674, -122.159808)"
HERITAGE SCHOOL,89.0,76.4,4.5,0.0,1.1,3.4,0.0,3.4,1.1,3.4,3.4,3.4,4.5,68.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,4.0,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"7204 27TH AVE NE
MARYSVILLE
(48.061465, -122.194894)"
ARROWHEAD ELEMENTARY,425.0,93.2,5.9,0.5,5.4,0.0,0.0,2.4,2.4,4.5,3.8,3.8,4.5,396.0,25.0,2.0,23.0,0.0,0.0,10.0,10.0,19.0,16.0,16.0,19.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"6725 NE ARROWHEAD DR
KENMORE
(47.738146, -122.251045)"
CHRIST THE KING SCHOOL,391.0,97.4,2.6,0.3,2.0,0.3,0.0,2.0,2.0,2.0,2.0,2.0,2.6,381.0,10.0,1.0,8.0,1.0,0.0,8.0,8.0,8.0,8.0,8.0,10.0,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,"1122 LONG AVE
RICHLAND
(46.28365, -119.285317)"
BURLEY GLENWOOD ELEMENTARY,482.0,91.7,7.3,0.2,6.2,0.8,0.0,5.6,5.2,6.2,5.6,5.8,6.2,442.0,35.0,1.0,30.0,4.0,0.0,27.0,25.0,30.0,27.0,28.0,30.0,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"100 SW LAKEWAY BLVD
PORT ORCHARD
(47.439613, -122.648718)"
BETHLEHEM LUTHERAN SCHOOL,190.0,96.8,3.2,1.1,2.1,0.0,0.0,3.2,3.2,3.2,3.2,3.2,3.2,184.0,6.0,2.0,4.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,"2505 W 27TH AVE
KENNEWICK
(46.183891, -119.154698)"
FRUITLAND ELEMENTARY,664.0,75.3,3.8,1.7,2.1,0.3,0.0,3.2,1.5,3.2,3.5,3.2,3.6,500.0,25.0,11.0,14.0,2.0,0.0,21.0,10.0,21.0,23.0,21.0,24.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"1515 FRUITLAND AVE
PUYALLUP
(47.175602, -122.32552)"
HAMILTON INTERNATIONAL MIDDLE SCHOOL,1198.0,83.1,11.4,5.0,7.7,0.2,0.1,2.9,2.9,3.3,3.7,6.3,9.8,996.0,137.0,60.0,92.0,2.0,1.0,35.0,35.0,39.0,44.0,76.0,117.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"4400 INTERLAKE AVE N
SEATTLE
(47.660149, -122.340686)"
EXCELSIOR HIGH SCHOOL,56.0,75.0,14.3,0.0,8.9,3.6,1.8,5.4,3.6,5.4,5.4,7.1,10.7,42.0,8.0,0.0,5.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,6.0,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"1401 39TH STREET
WASHOUGAL
(45.586997, -122.326831)"
HAYES FREEDOM HIGH SCHOOL,150.0,86.7,13.3,1.3,10.7,2.0,0.0,6.7,5.3,6.0,3.3,6.0,9.3,130.0,20.0,2.0,16.0,3.0,0.0,10.0,8.0,9.0,5.0,9.0,14.0,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"1919 NE IONE ST
CAMAS
(45.592655, -122.400678)"
MADRONA NONGRADED,632.0,89.9,7.0,0.3,6.3,0.5,0.0,3.3,3.2,4.6,4.3,4.3,5.2,568.0,44.0,2.0,40.0,3.0,0.0,21.0,20.0,29.0,27.0,27.0,33.0,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-8,Y,Y,"9300 236TH ST SW
EDMONDS
(47.785072, -122.357413)"
AYLEN JR HIGH,693.0,96.1,3.8,1.0,2.9,0.0,0.0,1.7,2.5,1.9,1.9,1.4,2.9,666.0,26.0,7.0,20.0,0.0,0.0,12.0,17.0,13.0,13.0,10.0,20.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N,"101 15TH ST NW
PUYALLUP
(47.194867, -122.313772)"
